anställning,трудоустройство
ansvarsfull,ответственный
behandlar,обращаться
besked,ответ_сообщение
bråkar,борьба
charmig,очаровательный
det_beror_på,это_зависит_от
eftersom,так как
egenskap,имущество
en drivkraft,движущая сила
en förebild,образцом для подражания
en livserfarenhet,жизненный опыт
en omtanke,забота
en undervisning,преподавание
en värme,тепло
en_chef,начальник
en_idrottare,атлет
en_revisor,бухгалтер
en_uppfostran,воспитание
en_uppväxt,воспитание
engagerad,увлеченный
ett ansvar,ответственность
ett_ben,нога 
ett_bröst,грудь 
ett_eget_företag,владеть_компанией
ett_finger,палец 
ett_huvud,голова 
ett_knä,колено 
ett_krav,требование
ett_lag,команда
ett_äventyr,приключение
ett_öga,глаз 
ett_öra,ухо 
framförallt,превыше_всего
framgångsrik,успешный
föreställning,спектакль
försiktig,осторожный
försörjer,обеспечивать
hoppar_fallskärm,прыжки_с_парашютом
hoppas,надеяться
högt,высокий
kompletterar,дополняет
konstrnärlig,художественный
noggrann,дотошный
ordförande,председатель
passar,подходит
skapar,создавать
spännande,захватывающе
sånt,такой
trygg,надёжный
trygghet,безопасность
tröstar,утешать
tävling,соревнование
vanligt,обычный
vrålar,реветь
väl,хорошо_ много
växlar,меняться
vågar,решаться
är_rädd_för,боится
överraskad,удивлен
